ID,AreaPath,IterationPath,Priority
3543276,TaxProf\aafm\audit\engagementManager,TaxProf\2025,1
3543961,TaxProf\aafm\audit\engagementManager,TaxProf\2025,1
3544012,TaxProf\aafm\audit\engagementManager,TaxProf\2025,1
3544064,TaxProf\aafm\audit\engagementManager,TaxProf\2025,1
3544109,TaxProf\aafm\audit\engagementManager,TaxProf\2025,1
3544146,TaxProf\aafm\audit\engagementManager,TaxProf\2025,1
3544148,TaxProf\aafm\audit\engagementManager,TaxProf\2025,1
3545312,TaxProf\aafm\audit\engagementManager,TaxProf\2025,2
3545441,TaxProf\aafm\audit\engagementManager,TaxProf\2025,1
3576411,TaxProf\aafm\audit\engagementManager,TaxProf\2025,3
3576418,TaxProf\aafm\audit\engagementManager,TaxProf\2025,3
3673299,TaxProf\aafm\audit\engagementManager,TaxProf\2025,4
3673300,TaxProf\aafm\audit\engagementManager,TaxProf\2025,3
3673301,TaxProf\aafm\audit\engagementManager,TaxProf\2025,3
3673304,TaxProf\aafm\audit\engagementManager,TaxProf\2025,3
3673305,TaxProf\aafm\audit\engagementManager,TaxProf\2025,2
3673306,TaxProf\aafm\audit\engagementManager,TaxProf\2025,3
3673308,TaxProf\aafm\audit\engagementManager,TaxProf\2025,2
3673309,TaxProf\aafm\audit\engagementManager,TaxProf\2025,3
3673311,TaxProf\aafm\audit\engagementManager,TaxProf\2025,4
3673312,TaxProf\aafm\audit\engagementManager,TaxProf\2025,4
3673313,TaxProf\aafm\audit\engagementManager,TaxProf\2025,4
3673315,TaxProf\aafm\audit\engagementManager,TaxProf\2025,2
3673318,TaxProf\aafm\audit\engagementManager,TaxProf\2025,3
3673319,TaxProf\aafm\audit\engagementManager,TaxProf\2025,3
3673320,TaxProf\aafm\audit\engagementManager,TaxProf\2025,3
3673321,TaxProf\aafm\audit\engagementManager,TaxProf\2025,2
3673322,TaxProf\aafm\audit\engagementManager,TaxProf\2025,3
3673325,TaxProf\aafm\audit\engagementManager,TaxProf\2025,2
3673326,TaxProf\aafm\audit\engagementManager,TaxProf\2025,2
3673328,TaxProf\aafm\audit\engagementManager,TaxProf\2025,3
3673329,TaxProf\aafm\audit\engagementManager,TaxProf\2025,4
3673331,TaxProf\aafm\audit\engagementManager,TaxProf\2025,3
3673332,TaxProf\aafm\audit\engagementManager,TaxProf\2025,3
3673333,TaxProf\aafm\audit\engagementManager,TaxProf\2025,3
3673334,TaxProf\aafm\audit\engagementManager,TaxProf\2025,3
3673335,TaxProf\aafm\audit\engagementManager,TaxProf\2025,3
3752444,TaxProf\aafm\audit\engagementManager,TaxProf\2025,3
3950272,TaxProf\aafm\audit\engagementManager,TaxProf\2025,2
3950286,TaxProf\aafm\audit\engagementManager,TaxProf\2025,2
3954373,TaxProf\aafm\audit\engagementManager,TaxProf\2025,2
3954374,TaxProf\aafm\audit\engagementManager,TaxProf\2025,2
3954375,TaxProf\aafm\audit\engagementManager,TaxProf\2025,2
3954376,TaxProf\aafm\audit\engagementManager,TaxProf\2025,2
3954377,TaxProf\aafm\audit\engagementManager,TaxProf\2025,2
3954378,TaxProf\aafm\audit\engagementManager,TaxProf\2025,2
3954379,TaxProf\aafm\audit\engagementManager,TaxProf\2025,2
3954380,TaxProf\aafm\audit\engagementManager,TaxProf\2025,2
3954407,TaxProf\aafm\audit\engagementManager,TaxProf\2025,2
3954408,TaxProf\aafm\audit\engagementManager,TaxProf\2025,2
3954410,TaxProf\aafm\audit\engagementManager,TaxProf\2025,2
3954412,TaxProf\aafm\audit\engagementManager,TaxProf\2025,2
3954413,TaxProf\aafm\audit\engagementManager,TaxProf\2025,2
3954414,TaxProf\aafm\audit\engagementManager,TaxProf\2025,2
3954415,TaxProf\aafm\audit\engagementManager,TaxProf\2025,2
3954416,TaxProf\aafm\audit\engagementManager,TaxProf\2025,4
3954425,TaxProf\aafm\audit\engagementManager,TaxProf\2025,2
3954432,TaxProf\aafm\audit\engagementManager,TaxProf\2025,2
3954443,TaxProf\aafm\audit\engagementManager,TaxProf\2025,2
3954451,TaxProf\aafm\audit\engagementManager,TaxProf\2025,2
3954455,TaxProf\aafm\audit\engagementManager,TaxProf\2025,2
3954456,TaxProf\aafm\audit\engagementManager,TaxProf\2025,2
3954465,TaxProf\aafm\audit\engagementManager,TaxProf\2025,2
3954472,TaxProf\aafm\audit\engagementManager,TaxProf\2025,2
3954491,TaxProf\aafm\audit\engagementManager,TaxProf\2025,2
3954508,TaxProf\aafm\audit\engagementManager,TaxProf\2025,2
3954516,TaxProf\aafm\audit\engagementManager,TaxProf\2025,2
3954544,TaxProf\aafm\audit\engagementManager,TaxProf\2025,2
3954616,TaxProf\aafm\audit\engagementManager,TaxProf\2025,2
3954619,TaxProf\aafm\audit\engagementManager,TaxProf\2025,2
3954623,TaxProf\aafm\audit\engagementManager,TaxProf\2025,2
3954634,TaxProf\aafm\audit\engagementManager,TaxProf\2025,2
3954650,TaxProf\aafm\audit\engagementManager,TaxProf\2025,2
3954657,TaxProf\aafm\audit\engagementManager,TaxProf\2025,2
3954676,TaxProf\aafm\audit\engagementManager,TaxProf\2025,2
3954696,TaxProf\aafm\audit\engagementManager,TaxProf\2025,2
3954704,TaxProf\aafm\audit\engagementManager,TaxProf\2025,2
3954706,TaxProf\aafm\audit\engagementManager,TaxProf\2025,2
3954838,TaxProf\aafm\audit\engagementManager,TaxProf\2025,2
3954842,TaxProf\aafm\audit\engagementManager,TaxProf\2025,2
3964733,TaxProf\aafm\audit\engagementManager,TaxProf\2025,2
3964745,TaxProf\aafm\audit\engagementManager,TaxProf\2025,2
3971039,TaxProf\aafm\audit\engagementManager,TaxProf\2025,2
3971043,TaxProf\aafm\audit\engagementManager,TaxProf\2025,2
3971083,TaxProf\aafm\audit\engagementManager,TaxProf\2025,2
3971089,TaxProf\aafm\audit\engagementManager,TaxProf\2025,2
3971092,TaxProf\aafm\audit\engagementManager,TaxProf\2025,2
3971101,TaxProf\aafm\audit\engagementManager,TaxProf\2025,2
3971112,TaxProf\aafm\audit\engagementManager,TaxProf\2025,2
3971116,TaxProf\aafm\audit\engagementManager,TaxProf\2025,2
3971125,TaxProf\aafm\audit\engagementManager,TaxProf\2025,2
3971128,TaxProf\aafm\audit\engagementManager,TaxProf\2025,2
3971130,TaxProf\aafm\audit\engagementManager,TaxProf\2025,2
3971131,TaxProf\aafm\audit\engagementManager,TaxProf\2025,2
3971134,TaxProf\aafm\audit\engagementManager,TaxProf\2025,2
3971136,TaxProf\aafm\audit\engagementManager,TaxProf\2025,2
3971167,TaxProf\aafm\audit\engagementManager,TaxProf\2025,2
3971181,TaxProf\aafm\audit\engagementManager,TaxProf\2025,2
3971195,TaxProf\aafm\audit\engagementManager,TaxProf\2025,2
3971201,TaxProf\aafm\audit\engagementManager,TaxProf\2025,2
3971206,TaxProf\aafm\audit\engagementManager,TaxProf\2025,2
...
